"RG","TG"
"PIK3CB_KIT","PIK3CB","KIT"
"PIK3R3_KIT","PIK3R3","KIT"
"NFKB1_KIT","NFKB1","KIT"
"EIF4EBP1_KIT","EIF4EBP1","KIT"
"RPS6KB1_KIT","RPS6KB1","KIT"
"RPS6KB2_KIT","RPS6KB2","KIT"
"SOS1_KIT","SOS1","KIT"
"HRAS_KIT","HRAS","KIT"
"ARAF_KIT","ARAF","KIT"
"BRAF_KIT","BRAF","KIT"
"MAP2K1_KIT","MAP2K1","KIT"
"MAP2K2_KIT","MAP2K2","KIT"
"MAPK1_KIT","MAPK1","KIT"
"MAPK3_KIT","MAPK3","KIT"
"STAT3_KIT","STAT3","KIT"
"STAT5A_KIT","STAT5A","KIT"
"MPO_KIT","MPO","KIT"
"CSF2_KIT","CSF2","KIT"
"RUNX1T1_KIT","RUNX1T1","KIT"
"ZBTB16_KIT","ZBTB16","KIT"
"PER2_KIT","PER2","KIT"
"SPI1_KIT","SPI1","KIT"
"CD14_KIT","CD14","KIT"
"ITGAM_KIT","ITGAM","KIT"
"CCNA2_KIT","CCNA2","KIT"
"MYC_KIT","MYC","KIT"
"TCF7L1_KIT","TCF7L1","KIT"
"TCF7L2_KIT","TCF7L2","KIT"
"LEF1_KIT","LEF1","KIT"
"CCND1_KIT","CCND1","KIT"
"KIT_FLT3","KIT","FLT3"
"PIK3CD_FLT3","PIK3CD","FLT3"
"PIK3CB_FLT3","PIK3CB","FLT3"
"PIK3R1_FLT3","PIK3R1","FLT3"
"PIK3R2_FLT3","PIK3R2","FLT3"
"PIK3R3_FLT3","PIK3R3","FLT3"
"P3R3URF.PIK3R3_FLT3","P3R3URF.PIK3R3","FLT3"
"AKT1_FLT3","AKT1","FLT3"
"AKT2_FLT3","AKT2","FLT3"
"AKT3_FLT3","AKT3","FLT3"
"CHUK_FLT3","CHUK","FLT3"
"IKBKG_FLT3","IKBKG","FLT3"
"NFKB1_FLT3","NFKB1","FLT3"
"RELA_FLT3","RELA","FLT3"
"MTOR_FLT3","MTOR","FLT3"
"EIF4EBP1_FLT3","EIF4EBP1","FLT3"
