"RG","TG"
"CCNA2_RELA","CCNA2","RELA"
"MAP2K1_RELA","MAP2K1","RELA"
"PIK3R1_RELA","PIK3R1","RELA"
"MTOR_RELA","MTOR","RELA"
"PIK3R3_RELA","PIK3R3","RELA"
"JUP_RELA","JUP","RELA"
"RUNX1T1_RELA","RUNX1T1","RELA"
"PIK3R2_RELA","PIK3R2","RELA"
"PIK3CB_RELA","PIK3CB","RELA"
"MYC_RELA","MYC","RELA"
"FCGR1A_RELA","FCGR1A","RELA"
"FLT3_RELA","FLT3","RELA"
"AKT3_RELA","AKT3","RELA"
"CD14_RELA","CD14","RELA"
"CSF1R_RELA","CSF1R","RELA"
"CCNA1_RELA","CCNA1","RELA"
"KIT_RELA","KIT","RELA"
"RPS6KB2_RELA","RPS6KB2","RELA"
"MAP2K2_RELA","MAP2K2","RELA"
"SPI1_RELA","SPI1","RELA"
"P3R3URF.PIK3R3_RELA","P3R3URF.PIK3R3","RELA"
"SOS2_RELA","SOS2","RELA"
"CEBPE_RELA","CEBPE","RELA"
"BRAF_RELA","BRAF","RELA"
"CCND1_RELA","CCND1","RELA"
"PIK3CA_RELA","PIK3CA","RELA"
"PIK3CD_RELA","PIK3CD","RELA"
"PPARD_RELA","PPARD","RELA"
"RARA_RELA","RARA","RELA"
"NFKB1_RELA","NFKB1","RELA"
"PIM1_RELA","PIM1","RELA"
"MPO_RELA","MPO","RELA"
"EIF4EBP1_RELA","EIF4EBP1","RELA"
"GRB2_RELA","GRB2","RELA"
"IKBKB_RELA","IKBKB","RELA"
"IKBKG_RELA","IKBKG","RELA"
"AKT2_RELA","AKT2","RELA"
"STAT5A_RELA","STAT5A","RELA"
"DCBLD2_RELA","DCBLD2","RELA"
"IFITM3_RELA","IFITM3","RELA"
"F2RL1_RELA","F2RL1","RELA"
"ANO1_RELA","ANO1","RELA"
"TMEM98_RELA","TMEM98","RELA"
"TMC6_RELA","TMC6","RELA"
"VAV1_RELA","VAV1","RELA"
"TGFBR2_RELA","TGFBR2","RELA"
"COL8A1_RELA","COL8A1","RELA"
"RELA_MAPK1","RELA","MAPK1"
"MAP2K1_MAPK1","MAP2K1","MAPK1"
"PIK3R1_MAPK1","PIK3R1","MAPK1"
"PIK3R3_MAPK1","PIK3R3","MAPK1"
"JUP_MAPK1","JUP","MAPK1"
"RUNX1T1_MAPK1","RUNX1T1","MAPK1"
"CHUK_MAPK1","CHUK","MAPK1"
"PIK3CB_MAPK1","PIK3CB","MAPK1"
"MYC_MAPK1","MYC","MAPK1"
"FCGR1A_MAPK1","FCGR1A","MAPK1"
"ITGAM_MAPK1","ITGAM","MAPK1"
"TCF7L2_MAPK1","TCF7L2","MAPK1"
"AKT3_MAPK1","AKT3","MAPK1"
"LEF1_MAPK1","LEF1","MAPK1"
"CD14_MAPK1","CD14","MAPK1"
"CSF1R_MAPK1","CSF1R","MAPK1"
"CCNA1_MAPK1","CCNA1","MAPK1"
"KIT_MAPK1","KIT","MAPK1"
"ZBTB16_MAPK1","ZBTB16","MAPK1"
"MAP2K2_MAPK1","MAP2K2","MAPK1"
"SOS2_MAPK1","SOS2","MAPK1"
"CEBPE_MAPK1","CEBPE","MAPK1"
"BRAF_MAPK1","BRAF","MAPK1"
"CCND1_MAPK1","CCND1","MAPK1"
"PIK3CD_MAPK1","PIK3CD","MAPK1"
"RARA_MAPK1","RARA","MAPK1"
"PIM2_MAPK1","PIM2","MAPK1"
"NFKB1_MAPK1","NFKB1","MAPK1"
"MPO_MAPK1","MPO","MAPK1"
"STAT5B_MAPK1","STAT5B","MAPK1"
"IKBKB_MAPK1","IKBKB","MAPK1"
"IKBKG_MAPK1","IKBKG","MAPK1"
"AKT2_MAPK1","AKT2","MAPK1"
"STAT5A_MAPK1","STAT5A","MAPK1"
"HTRA1_MAPK1","HTRA1","MAPK1"
"DCBLD2_MAPK1","DCBLD2","MAPK1"
"IFITM3_MAPK1","IFITM3","MAPK1"
"ANXA2_MAPK1","ANXA2","MAPK1"
"COL4A1_MAPK1","COL4A1","MAPK1"
"ANO1_MAPK1","ANO1","MAPK1"
"TMEM98_MAPK1","TMEM98","MAPK1"
"TMC6_MAPK1","TMC6","MAPK1"
"COL8A1_MAPK1","COL8A1","MAPK1"
"RELA_CCNA2","RELA","CCNA2"
"PIK3R1_CCNA2","PIK3R1","CCNA2"
"MTOR_CCNA2","MTOR","CCNA2"
"PIK3R3_CCNA2","PIK3R3","CCNA2"
"JUP_CCNA2","JUP","CCNA2"
"RUNX1T1_CCNA2","RUNX1T1","CCNA2"
"PIK3CB_CCNA2","PIK3CB","CCNA2"
"MYC_CCNA2","MYC","CCNA2"
"ITGAM_CCNA2","ITGAM","CCNA2"
"TCF7L2_CCNA2","TCF7L2","CCNA2"
"AKT3_CCNA2","AKT3","CCNA2"
"LEF1_CCNA2","LEF1","CCNA2"
"CD14_CCNA2","CD14","CCNA2"
"CCNA1_CCNA2","CCNA1","CCNA2"
"RPS6KB2_CCNA2","RPS6KB2","CCNA2"
"ZBTB16_CCNA2","ZBTB16","CCNA2"
"SPI1_CCNA2","SPI1","CCNA2"
"P3R3URF.PIK3R3_CCNA2","P3R3URF.PIK3R3","CCNA2"
"SOS2_CCNA2","SOS2","CCNA2"
"CEBPE_CCNA2","CEBPE","CCNA2"
"BRAF_CCNA2","BRAF","CCNA2"
"CCND1_CCNA2","CCND1","CCNA2"
"PIK3CA_CCNA2","PIK3CA","CCNA2"
"PPARD_CCNA2","PPARD","CCNA2"
"RARA_CCNA2","RARA","CCNA2"
"NFKB1_CCNA2","NFKB1","CCNA2"
"PIM1_CCNA2","PIM1","CCNA2"
"MPO_CCNA2","MPO","CCNA2"
"EIF4EBP1_CCNA2","EIF4EBP1","CCNA2"
"GRB2_CCNA2","GRB2","CCNA2"
"IKBKG_CCNA2","IKBKG","CCNA2"
"AKT2_CCNA2","AKT2","CCNA2"
"HTRA1_CCNA2","HTRA1","CCNA2"
"ANXA2_CCNA2","ANXA2","CCNA2"
"F2RL1_CCNA2","F2RL1","CCNA2"
"BAK1_CCNA2","BAK1","CCNA2"
"MYH14_CCNA2","MYH14","CCNA2"
"COL4A1_CCNA2","COL4A1","CCNA2"
"ANO1_CCNA2","ANO1","CCNA2"
"TMEM98_CCNA2","TMEM98","CCNA2"
"TMC6_CCNA2","TMC6","CCNA2"
"VAV1_CCNA2","VAV1","CCNA2"
"TGFBR2_CCNA2","TGFBR2","CCNA2"
"COL8A1_CCNA2","COL8A1","CCNA2"
"RELA_MAP2K1","RELA","MAP2K1"
"CCNA2_MAP2K1","CCNA2","MAP2K1"
"PIK3R1_MAP2K1","PIK3R1","MAP2K1"
"MTOR_MAP2K1","MTOR","MAP2K1"
"JUP_MAP2K1","JUP","MAP2K1"
"PIK3R2_MAP2K1","PIK3R2","MAP2K1"
"CHUK_MAP2K1","CHUK","MAP2K1"
"PIK3CB_MAP2K1","PIK3CB","MAP2K1"
"MYC_MAP2K1","MYC","MAP2K1"
"FLT3_MAP2K1","FLT3","MAP2K1"
"ITGAM_MAP2K1","ITGAM","MAP2K1"
"TCF7L2_MAP2K1","TCF7L2","MAP2K1"
"LEF1_MAP2K1","LEF1","MAP2K1"
"CD14_MAP2K1","CD14","MAP2K1"
"CCNA1_MAP2K1","CCNA1","MAP2K1"
"KIT_MAP2K1","KIT","MAP2K1"
"DUSP6_MAP2K1","DUSP6","MAP2K1"
"RPS6KB2_MAP2K1","RPS6KB2","MAP2K1"
"ZBTB16_MAP2K1","ZBTB16","MAP2K1"
"MAP2K2_MAP2K1","MAP2K2","MAP2K1"
"SOS2_MAP2K1","SOS2","MAP2K1"
"CEBPE_MAP2K1","CEBPE","MAP2K1"
"BRAF_MAP2K1","BRAF","MAP2K1"
"PIK3CD_MAP2K1","PIK3CD","MAP2K1"
"PIM2_MAP2K1","PIM2","MAP2K1"
"NFKB1_MAP2K1","NFKB1","MAP2K1"
"PIM1_MAP2K1","PIM1","MAP2K1"
"STAT5B_MAP2K1","STAT5B","MAP2K1"
"EIF4EBP1_MAP2K1","EIF4EBP1","MAP2K1"
"GRB2_MAP2K1","GRB2","MAP2K1"
"IKBKB_MAP2K1","IKBKB","MAP2K1"
"IKBKG_MAP2K1","IKBKG","MAP2K1"
"AKT2_MAP2K1","AKT2","MAP2K1"
"HTRA1_MAP2K1","HTRA1","MAP2K1"
"IFITM3_MAP2K1","IFITM3","MAP2K1"
"F2RL1_MAP2K1","F2RL1","MAP2K1"
"BAK1_MAP2K1","BAK1","MAP2K1"
"MYH14_MAP2K1","MYH14","MAP2K1"
"COL4A1_MAP2K1","COL4A1","MAP2K1"
"TMEM98_MAP2K1","TMEM98","MAP2K1"
"TMC6_MAP2K1","TMC6","MAP2K1"
"VAV1_MAP2K1","VAV1","MAP2K1"
"TGFBR2_MAP2K1","TGFBR2","MAP2K1"
"EPCAM_MAP2K1","EPCAM","MAP2K1"
"RELA_PIK3R1","RELA","PIK3R1"
"MAPK1_PIK3R1","MAPK1","PIK3R1"
"CCNA2_PIK3R1","CCNA2","PIK3R1"
"MTOR_PIK3R1","MTOR","PIK3R1"
"PIK3R3_PIK3R1","PIK3R3","PIK3R1"
"RUNX1T1_PIK3R1","RUNX1T1","PIK3R1"
"PIK3R2_PIK3R1","PIK3R2","PIK3R1"
"CHUK_PIK3R1","CHUK","PIK3R1"
"PIK3CB_PIK3R1","PIK3CB","PIK3R1"
"MYC_PIK3R1","MYC","PIK3R1"
"FLT3_PIK3R1","FLT3","PIK3R1"
"ITGAM_PIK3R1","ITGAM","PIK3R1"
"TCF7L2_PIK3R1","TCF7L2","PIK3R1"
"AKT3_PIK3R1","AKT3","PIK3R1"
"LEF1_PIK3R1","LEF1","PIK3R1"
"CD14_PIK3R1","CD14","PIK3R1"
"CSF1R_PIK3R1","CSF1R","PIK3R1"
"CCNA1_PIK3R1","CCNA1","PIK3R1"
"KIT_PIK3R1","KIT","PIK3R1"
"DUSP6_PIK3R1","DUSP6","PIK3R1"
"RPS6KB2_PIK3R1","RPS6KB2","PIK3R1"
"ZBTB16_PIK3R1","ZBTB16","PIK3R1"
"MAP2K2_PIK3R1","MAP2K2","PIK3R1"
"SPI1_PIK3R1","SPI1","PIK3R1"
"CEBPE_PIK3R1","CEBPE","PIK3R1"
"BRAF_PIK3R1","BRAF","PIK3R1"
"PIK3CD_PIK3R1","PIK3CD","PIK3R1"
"PPARD_PIK3R1","PPARD","PIK3R1"
"RARA_PIK3R1","RARA","PIK3R1"
"PIM2_PIK3R1","PIM2","PIK3R1"
"NFKB1_PIK3R1","NFKB1","PIK3R1"
"MPO_PIK3R1","MPO","PIK3R1"
"STAT5B_PIK3R1","STAT5B","PIK3R1"
"IKBKB_PIK3R1","IKBKB","PIK3R1"
"IKBKG_PIK3R1","IKBKG","PIK3R1"
"AKT2_PIK3R1","AKT2","PIK3R1"
"STAT5A_PIK3R1","STAT5A","PIK3R1"
"IFITM3_PIK3R1","IFITM3","PIK3R1"
"ANXA2_PIK3R1","ANXA2","PIK3R1"
"BAK1_PIK3R1","BAK1","PIK3R1"
"MYH14_PIK3R1","MYH14","PIK3R1"
"COL4A1_PIK3R1","COL4A1","PIK3R1"
"VAV1_PIK3R1","VAV1","PIK3R1"
"TGFBR2_PIK3R1","TGFBR2","PIK3R1"
"COL8A1_PIK3R1","COL8A1","PIK3R1"
"EPCAM_PIK3R1","EPCAM","PIK3R1"
"CCNA2_MTOR","CCNA2","MTOR"
"MAP2K1_MTOR","MAP2K1","MTOR"
"PIK3R1_MTOR","PIK3R1","MTOR"
"PIK3R3_MTOR","PIK3R3","MTOR"
"JUP_MTOR","JUP","MTOR"
"RUNX1T1_MTOR","RUNX1T1","MTOR"
"PIK3R2_MTOR","PIK3R2","MTOR"
"CHUK_MTOR","CHUK","MTOR"
"MYC_MTOR","MYC","MTOR"
"FCGR1A_MTOR","FCGR1A","MTOR"
"FLT3_MTOR","FLT3","MTOR"
"ITGAM_MTOR","ITGAM","MTOR"
"TCF7L2_MTOR","TCF7L2","MTOR"
"AKT3_MTOR","AKT3","MTOR"
"LEF1_MTOR","LEF1","MTOR"
"CD14_MTOR","CD14","MTOR"
"CSF1R_MTOR","CSF1R","MTOR"
"KIT_MTOR","KIT","MTOR"
"DUSP6_MTOR","DUSP6","MTOR"
"RPS6KB2_MTOR","RPS6KB2","MTOR"
"ZBTB16_MTOR","ZBTB16","MTOR"
"MAP2K2_MTOR","MAP2K2","MTOR"
"P3R3URF.PIK3R3_MTOR","P3R3URF.PIK3R3","MTOR"
"SOS2_MTOR","SOS2","MTOR"
"CEBPE_MTOR","CEBPE","MTOR"
"CCND1_MTOR","CCND1","MTOR"
"PIK3CA_MTOR","PIK3CA","MTOR"
"PIK3CD_MTOR","PIK3CD","MTOR"
"RARA_MTOR","RARA","MTOR"
"NFKB1_MTOR","NFKB1","MTOR"
"PIM1_MTOR","PIM1","MTOR"
"MPO_MTOR","MPO","MTOR"
"STAT5B_MTOR","STAT5B","MTOR"
"EIF4EBP1_MTOR","EIF4EBP1","MTOR"
"GRB2_MTOR","GRB2","MTOR"
"IKBKB_MTOR","IKBKB","MTOR"
"IKBKG_MTOR","IKBKG","MTOR"
"AKT2_MTOR","AKT2","MTOR"
"STAT5A_MTOR","STAT5A","MTOR"
"HTRA1_MTOR","HTRA1","MTOR"
"DCBLD2_MTOR","DCBLD2","MTOR"
"IFITM3_MTOR","IFITM3","MTOR"
"BAK1_MTOR","BAK1","MTOR"
"COL4A1_MTOR","COL4A1","MTOR"
"ANO1_MTOR","ANO1","MTOR"
"TMEM98_MTOR","TMEM98","MTOR"
